phenotype_A	phenotype_B	gene_A	gene_B	gene_C
fast	green	presence	absence	presence
slow	red	absence	presence	absence
fast	blue	presence	presence	presence
slow	red	absence	absence	absence
fast	blue	presence	presence	presence
slow	red	absence	presence	absence
fast	green	presence	absence	presence
slow	red	absence	presence	absence
fast	blue	presence	absence	presence
slow	red	absence	presence	absence
fast	blue	presence	absence	presence
slow	red	absence	presence	absence
fast	green	presence	absence	presence
slow	red	absence	presence	absence
fast	green	presence	absence	absence
slow	red	absence	presence	presence
